"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,125,1.45094260312691,2.45739234631494
270,125.625,1.45471826777765,2.54851660063809
270,126.25,1.45822130584875,2.63944788919473
270,126.875,1.4614800379796,2.73019033520687
270,127.5,1.46451900024779,2.82074847100181
270,128.125,1.46735955402522,2.91112716076136
270,128.75,1.47002038186357,3.00133153841108
270,129.375,1.47251789345258,3.09136695742567
270,130,1.47486656007942,3.18123895008506
270,130.625,1.47707919183288,3.27095319427886
270,131.25,1.47916716864889,3.36051548638024
270,131.875,1.48114063390656,3.4499317190304
270,132.5,1.48300865745831,3.5392078629196
270,133.125,1.48477937357104,3.62834995183871
270,133.75,1.48646009816317,3.71736407042121
270,134.375,1.48805742886932,3.80625634410935
270,135,1.48957733079301,3.89503293096783
270,135.625,1.49102521027673,3.98370001503863
270,136.25,1.49240597859575,4.07226380098733
270,136.875,1.4937241071436,4.16073050983591
270,137.5,1.4949836754046,4.2491063756133
270,138.125,1.49618841278847,4.33739764278408
270,138.75,1.49734173522318,4.42561056433955
270,139.375,1.49844677725535,4.51375140045475
270,140,1.49950642028828,4.60182641763069
270,140.625,1.50052331748829,4.68984188825437
270,141.25,1.50149991580866,4.77780409051977
270,141.875,1.5024384755124,4.86571930866206
270,142.5,1.50334108751878,4.95359383346453
270,143.125,1.50420968885102,5.04143396300434
270,143.75,1.50504607642303,5.1292460036081
270,144.375,1.50585191936954,5.21703627099275
270,145,1.5066287700958,5.30481109157104
270,145.625,1.50737807419914,5.3925768039041
270,146.25,1.50810117939426,5.48033976028598
270,146.875,1.50879934355685,5.56810632844774
270,147.5,1.50947374198528,5.65588289337022
270,148.125,1.51012547396753,5.74367585919679
270,148.75,1.51075556872943,5.8314916512382
270,149.375,1.51136499083103,5.91933671806364
270,150,1.51195464506981,6.00721753367244
270,150.625,1.51252538094233,6.09514059974262
270,151.25,1.51307799670986,6.18311244795248
270,151.875,1.51361324310831,6.27113964237289
270,152.5,1.51413182673809,6.3592287819281
270,153.125,1.5146344131655,6.44738650292369
270,153.75,1.51512162976375,6.53561948164076
270,154.375,1.51559406831869,6.62393443699579
270,155,1.51605228742142,6.71233813326633
270,155.625,1.51649681466789,6.80083738288257
270,156.25,1.51692814868307,6.88943904928572
270,156.875,1.51734676098582,6.97815004985401
270,157.5,1.51775309770871,7.06697735889771
270,158.125,1.51814758118565,7.15592801072457
270,158.75,1.51853061141891,7.24500910277776
270,159.375,1.51890256743593,7.33422779884808
270,160,1.51926380854532,7.4235913323629
270,160.625,1.51961467550058,7.51310700975433
270,161.25,1.51995549157922,7.60278221390941
270,161.875,1.52028656358408,7.69262440770506
270,162.5,1.52060818277343,7.78264113763138
270,163.125,1.52092062572525,7.87284003750623
270,163.75,1.52122415514119,7.96322883228504
270,164.375,1.52151902059468,8.05381534196944
270,165,1.52180545922765,8.14460748561898
270,165.625,1.52208369639967,8.23561328546993
270,166.25,1.52235394629322,8.32684087116581
270,166.875,1.52261641247823,8.41829848410441
270,167.5,1.52287128843887,8.50999448190608
270,168.125,1.52311875806548,8.60193734300867
270,168.75,1.52335899611389,8.69413567139445
270,169.375,1.52359216863466,8.78659820145479
270,170,1.52381843337416,8.8793338029987
270,170.625,1.52403794014948,8.97235148641127
270,171.25,1.52425083119896,9.06566040796887
270,171.875,1.52445724150997,9.15926987531786
270,172.5,1.5246572991253,9.25318935312415
270,173.125,1.52485112542971,9.34742846890106
270,173.75,1.52503883541782,9.44199701902356
270,174.375,1.52522053794443,9.5369049749372
270,175,1.52539633595852,9.63216248957042
270,175.625,1.52556632672166,9.72777990395941
270,176.25,1.52573060201205,9.82376775409515
270,176.875,1.52588924831466,9.92013677800273
270,177.5,1.52604234699861,10.0168979230635
270,178.125,1.52618997448217,10.1140623535908
270,178.75,1.52633220238628,10.2116414586722
270,179.375,1.52646909767698,10.3096468602881
270,180,1.52660072279755,10.4080904217224
270,180.625,1.52672713579054,10.5069842562763
270,181.25,1.52684839041047,10.6063407363011
270,181.875,1.52696453622739,10.7061725025636
270,182.5,1.52707561872184,10.8064924739612
270,183.125,1.52718167937147,10.9073138576023
270,183.75,1.52728275572967,11.0086501592687
270,184.375,1.5273788814965,11.1105151942804
270,185,1.52747008658217,11.2129230987801
270,185.625,1.52755639716336,11.3158883414588
270,186.25,1.5276378357325,11.4194257357429
270,186.875,1.52771442114023,11.523550452467
270,187.5,1.52778616863122,11.6282780330546
270,188.125,1.52785308987352,11.7336244032325
270,188.75,1.52791519298138,11.8396058873058
270,189.375,1.52797248253195,11.9462392230204
270,190,1.52802495957554,12.0535415770444
270,190.625,1.52807262163989,12.1615305610973
270,191.25,1.52811546272817,12.2702242487626
270,191.875,1.52815347331089,12.3796411930165
270,192.5,1.52818664031169,12.4898004445118
270,193.125,1.52821494708693,12.6007215706541
270,193.75,1.52823837339916,12.7124246755137
270,194.375,1.52825689538422,12.8249304206161
270,195,1.52827048551206,12.938260046658
270,195.625,1.52827911254111,13.0524353961979
270,196.25,1.52828274146607,13.1674789373745
270,196.875,1.52828133345895,13.2834137887081
270,197.5,1.52827484580331,13.4002637450437
270,198.125,1.52826323182135,13.5180533046996
270,198.75,1.52824644079377,13.6368076978874
270,199.375,1.52822441787214,13.7565529164749
270,200,1.52819710398344,13.8773157451666
270,200.625,1.52816443572658,13.9991237941839
270,201.25,1.52812634526053,14.1220055335283
270,201.875,1.5280827601838,14.2459903289211
270,202.5,1.52803360340473,14.3711084795147
270,203.125,1.52797879300236,14.4973912574811
270,203.75,1.52791824207736,14.6248709495871
270,204.375,1.52785185859248,14.7535809008745
270,205,1.52777954520219,14.8835555605722
270,205.625,1.52770119907064,15.0148305303737
270,206.25,1.52761671167775,15.1474426152269
270,206.875,1.52752596861229,15.2814298767867
270,207.5,1.52742884935171,15.4168316897002
270,208.125,1.52732522702763,15.5536888008979
270,208.75,1.52721496817625,15.6920433920826
270,209.375,1.52709793247293,15.8319391456197
270,210,1.52697397244974,15.9734213140466
270,210.625,1.52684293319514,16.1165367934366
270,211.25,1.52670465203462,16.2613342008694
270,211.875,1.52655895819097,16.407863956279
270,212.5,1.52640567242309,16.5561783689719
270,213.125,1.52624460664176,16.7063317291289
270,213.75,1.52607556350092,16.858380404629
270,214.375,1.52589833596276,17.0123829435625
270,215,1.52571270683493,17.1684001828241
270,215.625,1.52551844827788,17.3264953632141
270,216.25,1.52531532128017,17.4867342515068
270,216.875,1.52510307509965,17.6491852699819
270,217.5,1.52488144666793,17.8139196339591
270,218.125,1.5246501599555,17.9810114979166
270,218.75,1.52440892529465,18.1505381108268
270,219.375,1.52415743865698,18.3225799813931
270,220,1.52389538088211,18.4972210539327
270,220.625,1.52362241685397,18.6745488957134
270,221.25,1.52333819462038,18.8546548966238
270,221.875,1.52304234445177,19.0376344821339
270,222.5,1.52273447783404,19.2235873405882
270,223.125,1.52241418639036,19.4126176659701
270,223.75,1.5220810407262,19.6048344173768
270,224.375,1.52173458919121,19.8003515965616
270,225,1.52137435655117,19.9992885450273
270,225.625,1.5209998425623,20.2017702622932
270,226.25,1.52061052043989,20.4079277471149
270,226.875,1.52020583521191,20.6178983636097
270,227.5,1.51978520194772,20.8318262344295
270,228.125,1.51934800385091,21.0498626633381
270,228.75,1.518893590204,21.2721665897861
270,229.375,1.5184212741518,21.4989050783405
270,230,1.51793033030845,21.7302538461208
