"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,125,1.45239010734563,2.49469899714366
270,125.625,1.45610521309143,2.58542931600947
270,126.25,1.4595563444857,2.67599045864025
270,126.875,1.4627703350174,2.76638598359876
270,127.5,1.46577050463845,2.85661985330775
270,128.125,1.46857721509517,2.94669636187101
270,128.75,1.4712083234021,3.03662007672265
270,129.375,1.47367955455894,3.12639579121594
270,130,1.47600480977007,3.21602848593077
270,130.625,1.47819642279687,3.30552329697704
270,131.25,1.48026537432887,3.39488548994886
270,131.875,1.48222147216723,3.48412043847018
270,132.5,1.48407350340592,3.57323360649321
270,133.125,1.48582936355145,3.66223053368048
270,133.75,1.48749616655177,3.75111682333407
270,134.375,1.48908033894326,3.83989813243897
270,135,1.49058770072387,3.92858016346961
270,135.625,1.49202353508274,4.01716865767337
270,136.25,1.49339264873515,4.10566938959668
270,136.875,1.49469942430525,4.19408816266087
270,137.5,1.49594786595153,4.28243080562862
270,138.125,1.49714163922955,4.37070316982885
270,138.75,1.49828410602242,4.45891112703002
270,139.375,1.49937835523601,4.54706056787021
270,140,1.50042722984534,4.63515740076687
270,140.625,1.50143335078792,4.72320755124156
270,141.25,1.50239913812408,4.81121696160544
270,141.875,1.50332682982193,4.89919159095912
270,142.5,1.50421849847195,4.98713741546834
270,143.125,1.5050760661922,5.07506042888216
270,143.75,1.50590131794856,5.16296664326585
270,144.375,1.50669591348274,5.25086208992447
270,145,1.5074613980149,5.33875282049713
270,145.625,1.50819921186498,5.42664490820447
270,146.25,1.50891069911788,5.51454444923495
270,146.875,1.50959711544149,5.60245756425734
270,147.5,1.51025963515232,5.69039040004894
270,148.125,1.51089935761193,5.77834913123079
270,148.75,1.51151731302661,5.86633996210215
270,149.375,1.5121144677143,5.95436912856817
270,150,1.51269172889471,6.04244290015546
270,150.625,1.51324994905226,6.13056758211146
270,151.25,1.51378992991542,6.21874951758403
270,151.875,1.51431242609106,6.30699508987862
270,152.5,1.51481814838827,6.39531072479095
270,153.125,1.51530776686182,6.48370289301375
270,153.75,1.5157819136025,6.57217811261648
270,154.375,1.51624118529837,6.66074295159765
270,155,1.51668614558854,6.7494040305094
270,155.625,1.5171173272285,6.83816802515496
270,156.25,1.51753523408452,6.92704166935923
270,156.875,1.51794034297232,7.01603175781374
270,157.5,1.51833310535395,7.105145148997
270,158.125,1.51871394890539,7.1943887681719
270,158.75,1.51908327896603,7.28376961046195
270,159.375,1.51944147988024,7.3732947440083
270,160,1.51978891623998,7.46297131320991
270,160.625,1.52012593403694,7.55280654204937
270,161.25,1.52045286173151,7.64280773750716
270,161.875,1.52077001124544,7.73298229306721
270,162.5,1.52107767888429,7.82333769231715
270,163.125,1.52137614619524,7.91388151264644
270,163.75,1.52166568076534,8.0046214290463
270,164.375,1.52194653696493,8.09556521801504
270,165,1.52221895664013,8.18672076157314
270,165.625,1.52248316975862,8.27809605139223
270,166.25,1.52273939501188,8.36969919304261
270,166.875,1.52298784037729,8.46153841036421
270,167.5,1.52322870364293,8.55362204996592
270,168.125,1.52346217289774,8.6459585858587
270,168.75,1.52368842698956,8.73855662422812
270,169.375,1.52390763595321,8.83142490835203
270,170,1.52411996141073,8.92457232366984
270,170.625,1.52432555694565,9.01800790300953
270,171.25,1.52452456845299,9.11174083197944
270,171.875,1.5247171344667,9.20578045453196
270,172.5,1.52490338646581,9.3001362787064
270,173.125,1.52508344916086,9.39481798255908
270,173.75,1.52525744076168,9.48983542028886
270,174.375,1.52542547322773,9.58519862856658
270,175,1.52558765250211,9.68091783307761
270,175.625,1.52574407873004,9.77700345528702
270,176.25,1.5258948464629,9.8734661194372
270,176.875,1.52604004484855,9.97031665978856
270,177.5,1.5261797578086,10.0675661281142
270,178.125,1.52631406420358,10.1652258014602
270,178.75,1.52644303798633,10.2633071901834
270,179.375,1.5265667483445,10.3618220462797
270,180,1.52668525983245,10.4607823720164
270,180.625,1.52679863249322,10.5602004288819
270,181.25,1.52690692197093,10.6600887468685
270,181.875,1.52701017961409,10.7604601341035
270,182.5,1.52710845257016,10.8613276868445
270,183.125,1.52720178387162,10.9627047998575
270,183.75,1.52729021251414,11.0646051771938
270,184.375,1.52737377352673,11.1670428433877
270,185,1.52745249803453,11.2700321550925
270,185.625,1.52752641331415,11.3735878131774
270,186.25,1.52759554284193,11.477724875308
270,186.875,1.52765990633529,11.5824587690332
270,187.5,1.52771951978722,11.687805305404
270,188.125,1.52777439549416,11.7937806931503
270,188.75,1.52782454207732,11.9004015534441
270,189.375,1.52786996449749,12.0076849352778
270,190,1.5279106640635,12.1156483314888
270,190.625,1.52794663843428,12.2243096954642
270,191.25,1.52797788161461,12.3336874585592
270,191.875,1.52800438394454,12.4438005482665
270,192.5,1.52802613208247,12.5546684071758
270,193.125,1.5280431089818,12.6663110127648
270,193.75,1.52805529386126,12.7787488980649
270,194.375,1.52806266216856,12.892003173248
270,195,1.52806518553765,13.0060955481849
270,195.625,1.52806283173903,13.1210483560251
270,196.25,1.52805556462339,13.2368845778558
270,196.875,1.52804334405812,13.3536278684967
270,197.5,1.52802612585667,13.4713025834953
270,198.125,1.52800386170046,13.5899338073872
270,198.75,1.52797649905319,13.709547383293
270,199.375,1.52794398106725,13.8301699439263
270,200,1.52790624648193,13.9518289440944
270,200.625,1.52786322951318,14.0745526947739
270,201.25,1.52781485973446,14.1983703988549
270,201.875,1.52776106194854,14.3233121886489
270,202.5,1.52770175604951,14.4494091652641
270,203.125,1.52763685687487,14.5766934399573
270,203.75,1.52756627404709,14.7051981775824
270,204.375,1.52748991180403,14.8349576422572
270,205,1.52740766881789,14.9660072453868
270,205.625,1.52731943800183,15.0983835961843
270,206.25,1.5272251063038,15.2321245548434
270,206.875,1.52712455448676,15.367269288528
270,207.5,1.52701765689459,15.5038583303537
270,208.125,1.52690428120278,15.641933641551
270,208.75,1.52678428815312,15.7815386770127
270,209.375,1.52665753127137,15.9227184544426
270,210,1.52652385656679,16.0655196273394
270,210.625,1.52638310221262,16.209990562067
270,211.25,1.52623509820605,16.3561814192792
270,211.875,1.52607966600653,16.5041442399928
270,212.5,1.52591661815103,16.6539330366178
270,213.125,1.52574575784453,16.8056038892845
270,213.75,1.52556687852435,16.959215047829
270,214.375,1.52537976339628,17.1148270398307
270,215,1.52518418494076,17.2725027851229
270,215.625,1.52497990438692,17.432307717236
270,216.25,1.52476667115225,17.5943099122671
270,216.875,1.52454422224536,17.75858022571
270,217.5,1.5243122816293,17.9251924378282
270,218.125,1.52407055954234,18.0942234081961
270,218.75,1.52381875177328,18.2657532400923
270,219.375,1.52355653888762,18.4398654554847
270,220,1.52328358540109,18.6166471814105
270,220.625,1.52299953889626,18.7961893486276
270,221.25,1.52270402907796,18.9785869034879
270,221.875,1.52239666676258,19.163939034071
270,222.5,1.52207704279598,19.3523494117086
270,223.125,1.52174472689431,19.543926449135
270,223.75,1.52139926640128,19.738783576612
270,224.375,1.52104018495513,19.937039537505
270,225,1.52066698105757,20.1388187049227
270,225.625,1.52027912653654,20.3442514211933
270,226.25,1.51987606489343,20.5534743621167
270,226.875,1.519457209525,20.766630928125
270,227.5,1.51902194180868,20.9838716646958
270,228.125,1.51856960903924,21.205354714597
270,228.75,1.51809952220335,21.4312463048064
270,229.375,1.51761095357717,21.6617212712401
270,230,1.51710313413064,21.8969636247535
270,230.625,1.51657525072015,22.137167162243
270,231.25,1.51602644304965,22.382536127089
270,231.875,1.51545580037773,22.6332859236385
270,232.5,1.51486235794583,22.8896438909451
270,233.125,1.51424509310001,23.1518501415665
270,233.75,1.51360292107537,23.4201584718714
270,234.375,1.51293469040886,23.6948373510543
270,235,1.51223917794182,23.9761709968874
270,235.625,1.51151508336952,24.2644605471912
270,236.25,1.51076102328905,24.5600253370754
270,236.875,1.50997552469181,24.8632042932288
270,237.5,1.50915701783913,25.1743574579202
270,238.125,1.50830382845278,25.4938676569626
270,238.75,1.5074141691424,25.8221423277013
270,239.375,1.50648612998235,26.1596155251597
270,240,1.50551766813854,26.5067501268536
270,240.625,1.50450659643226,26.8640402595181
270,241.25,1.50345057071278,27.2320139741367
270,241.875,1.5023470758923,27.6112361992943
270,242.5,1.50119341047611,28.0023120070781
270,243.125,1.49998666939664,28.4058902306176
270,243.75,1.49872372493183,28.8226674780207
270,244.375,1.49740120545527,29.2533925940509
270,245,1.49601547172714,29.6988716285951
270,245.625,1.49456259038943,30.1599733799861
270,246.25,1.49303830427577,30.6376355918288
270,246.875,1.49143799908291,31.1328718944393
270,247.5,1.48975666587636,31.6467795967136
270,248.125,1.48798885881372,32.1805484516585
270,248.75,1.48612864736352,32.7354705394935
270,249.375,1.4841695621703,33.3129514368636
270,250,1.4821045335649,33.9145228701363
270,250.625,1.4799258215352,34.5418570860391
270,251.25,1.47762493575091,35.1967832153384
270,251.875,1.47519254396646,35.8813059564989
270,252.5,1.47261836679761,36.5976269683292
270,253.125,1.46989105646519,37.3481694360973
270,253.75,1.46699805660457,38.135606367718
270,254.375,1.46392543962819,38.9628932894981
270,255,1.46065771736975,39.8333061497946
270,255.625,1.45717761979188,40.7504854104951
270,256.25,1.45346583535181,41.7184875190292
270,256.875,1.44950070512283,42.7418452187201
270,257.5,1.44525786087143,43.8256384869535
270,258.125,1.4407097948697,44.9755783073816
270,258.75,1.43582534611725,46.1981060082696
270,259.375,1.43056908363751,47.5005115655096
270,260,1.42490056230201,48.891075116748
270,260.625,1.41877341981793,50.3792370159988
270,261.25,1.41213427452834,51.9758031457948
270,261.875,1.40492137174728,53.693193986857
270,262.5,1.39706291040122,55.545748239772
270,263.125,1.38847496025353,57.5500947463416
270,263.75,1.37905885079917,59.7256102506148
270,264.375,1.36869787297353,62.094985380739
270,265,1.35725307974902,64.6849273393097
270,265.625,1.34455789523564,67.5270353229761
270,266.25,1.33041113509669,70.6588936049396
270,266.875,1.31456789120857,74.1254369065964
270,267.5,1.29672752273883,77.9806512448402
